id_cliente,id_venta,id_producto,cantidad,fecha_alta,fecha,nombre_cliente,nombre_cliente,email,email,ciudad,nombre_cliente,nombre_cliente,email,email,medio_pago,nombre_producto,nombre_producto,nombre_producto,nombre_producto,categoria,precio_unitario,precio_unitario,importe,precio_unitario,precio_unitario
1,54,65,1,2023-01-01,2024-03-26,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,Carlos Paz,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,tarjeta,Cerveza Rubia 1L,Cerveza Rubia 1L,Cerveza Rubia 1L,Cerveza Rubia 1L,Alimentos,2423,2423,2423,2423,2423
1,54,18,2,2023-01-01,2024-03-26,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,Carlos Paz,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,tarjeta,Queso Rallado 150g,Queso Rallado 150g,Queso Rallado 150g,Queso Rallado 150g,Limpieza,3444,3444,6888,3444,3444
1,54,91,3,2023-01-01,2024-03-26,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,Carlos Paz,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,tarjeta,Desodorante Aerosol,Desodorante Aerosol,Desodorante Aerosol,Desodorante Aerosol,Alimentos,4690,4690,14070,4690,4690
1,54,8,3,2023-01-01,2024-03-26,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,Carlos Paz,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,tarjeta,Energética Nitro 500ml,Energética Nitro 500ml,Energética Nitro 500ml,Energética Nitro 500ml,Limpieza,4218,4218,12654,4218,4218
1,105,13,2,2023-01-01,2024-02-06,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,Carlos Paz,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,transferencia,Té Verde 20 saquitos,Té Verde 20 saquitos,Té Verde 20 saquitos,Té Verde 20 saquitos,Alimentos,2383,2383,4766,2383,2383
1,105,4,4,2023-01-01,2024-02-06,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,Carlos Paz,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,transferencia,Fanta Naranja 1.5L,Fanta Naranja 1.5L,Fanta Naranja 1.5L,Fanta Naranja 1.5L,Limpieza,2033,2033,8132,2033,2033
1,105,58,2,2023-01-01,2024-02-06,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,Carlos Paz,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,transferencia,Caramelos Masticables,Caramelos Masticables,Caramelos Masticables,Caramelos Masticables,Limpieza,4752,4752,9504,4752,4752
1,105,82,4,2023-01-01,2024-02-06,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,Carlos Paz,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,transferencia,Aceitunas Negras 200g,Aceitunas Negras 200g,Aceitunas Negras 200g,Aceitunas Negras 200g,Limpieza,2394,2394,9576,2394,2394
1,105,43,5,2023-01-01,2024-02-06,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,Carlos Paz,Mariana Lopez,Mariana Lopez,mariana.lopez@mail.com,mariana.lopez@mail.com,transferencia,Salsa de Tomate 500g,Salsa de Tomate 500g,Salsa de Tomate 500g,Salsa de Tomate 500g,Alimentos,887,887,4435,887,887
2,16,35,5,2023-01-02,2024-04-12,Nicolas Rojas,Nicolas Rojas,nicolas.rojas@mail.com,nicolas.rojas@mail.com,Carlos Paz,Nicolas Rojas,Nicolas Rojas,nicolas.rojas@mail.com,nicolas.rojas@mail.com,efectivo,Barrita de Cereal 30g,Barrita de Cereal 30g,Barrita de Cereal 30g,Barrita de Cereal 30g,Alimentos,4430,4430,22150,4430,4430
3,115,17,4,2023-01-03,2024-02-16,Hernan Martinez,Hernan Martinez,hernan.martinez@mail.com,hernan.martinez@mail.com,Rio Cuarto,Hernan Martinez,Hernan Martinez,hernan.martinez@mail.com,hernan.martinez@mail.com,transferencia,Queso Cremoso 500g,Queso Cremoso 500g,Queso Cremoso 500g,Queso Cremoso 500g,Alimentos,4834,4834,19336,4834,4834
3,115,97,5,2023-01-03,2024-02-16,Hernan Martinez,Hernan Martinez,hernan.martinez@mail.com,hernan.martinez@mail.com,Rio Cuarto,Hernan Martinez,Hernan Martinez,hernan.martinez@mail.com,hernan.martinez@mail.com,transferencia,Limpiavidrios 500ml,Limpiavidrios 500ml,Limpiavidrios 500ml,Limpiavidrios 500ml,Alimentos,872,872,4360,872,872
3,115,95,4,2023-01-03,2024-02-16,Hernan Martinez,Hernan Martinez,hernan.martinez@mail.com,hernan.martinez@mail.com,Rio Cuarto,Hernan Martinez,Hernan Martinez,hernan.martinez@mail.com,hernan.martinez@mail.com,transferencia,Mascarilla Capilar,Mascarilla Capilar,Mascarilla Capilar,Mascarilla Capilar,Alimentos,1581,1581,6324,1581,1581
3,115,84,2,2023-01-03,2024-02-16,Hernan Martinez,Hernan Martinez,hernan.martinez@mail.com,hernan.martinez@mail.com,Rio Cuarto,Hernan Martinez,Hernan Martinez,hernan.martinez@mail.com,hernan.martinez@mail.com,transferencia,Queso Azul 150g,Queso Azul 150g,Queso Azul 150g,Queso Azul 150g,Limpieza,1645,1645,3290,1645,1645
5,36,50,4,2023-01-05,2024-06-25,Agustina Flores,Agustina Flores,agustina.flores@mail.com,agustina.flores@mail.com,Cordoba,Agustina Flores,Agustina Flores,agustina.flores@mail.com,agustina.flores@mail.com,tarjeta,Azúcar 1kg,Azúcar 1kg,Azúcar 1kg,Azúcar 1kg,Limpieza,727,727,2908,727,727
5,36,48,2,2023-01-05,2024-06-25,Agustina Flores,Agustina Flores,agustina.flores@mail.com,agustina.flores@mail.com,Cordoba,Agustina Flores,Agustina Flores,agustina.flores@mail.com,agustina.flores@mail.com,tarjeta,Porotos Negros 500g,Porotos Negros 500g,Porotos Negros 500g,Porotos Negros 500g,Limpieza,4462,4462,8924,4462,4462
5,39,44,4,2023-01-05,2024-03-05,Agustina Flores,Agustina Flores,agustina.flores@mail.com,agustina.flores@mail.com,Cordoba,Agustina Flores,Agustina Flores,agustina.flores@mail.com,agustina.flores@mail.com,efectivo,Arroz Largo Fino 1kg,Arroz Largo Fino 1kg,Arroz Largo Fino 1kg,Arroz Largo Fino 1kg,Limpieza,2979,2979,11916,2979,2979
